Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,-30.00003273,-9.999976572,3.999992211,-1.741218739e-06,5.999975146,5.087865181e-08,-29.99998854,-38.99998168,11.9999818,3.160778972e-06,26.99996568,-4.862680875e-09
1,-29.98780622,-9.999976577,3.999992213,-1.740863922e-06,5.999975151,5.0868284e-08,-29.98776204,-38.99998168,11.9999818,3.160134884e-06,26.99996569,-4.861689982e-09
2,-29.95139763,-9.999976591,3.999992217,-1.739807334e-06,5.999975166,5.083741036e-08,-29.95135348,-38.99998169,11.99998181,3.158216893e-06,26.99996571,-4.858739261e-09
3,-29.89121339,-9.999976615,3.999992225,-1.73806077e-06,5.999975191,5.07863755e-08,-29.89116928,-38.99998171,11.99998183,3.15504641e-06,26.99996574,-4.853861651e-09
4,-29.80765991,-9.999976647,3.999992236,-1.735636023e-06,5.999975226,5.071552407e-08,-29.80761586,-38.99998174,11.99998186,3.150644845e-06,26.99996579,-4.84709009e-09
5,-29.70114362,-9.999976689,3.99999225,-1.732544889e-06,5.99997527,5.06252007e-08,-29.70109965,-38.99998177,11.99998189,3.145033607e-06,26.99996585,-4.838457516e-09
6,-29.57207094,-9.999976739,3.999992266,-1.728799161e-06,5.999975323,5.051575002e-08,-29.57202707,-38.99998181,11.99998193,3.138234107e-06,26.99996593,-4.827996868e-09
7,-29.42084829,-9.999976799,3.999992286,-1.724410635e-06,5.999975386,5.038751669e-08,-29.42080453,-38.99998186,11.99998197,3.130267756e-06,26.99996601,-4.815741083e-09
8,-29.2478821,-9.999976866,3.999992309,-1.719391105e-06,5.999975457,5.024084532e-08,-29.24783846,-38.99998191,11.99998203,3.121155962e-06,26.99996611,-4.8017231e-09
9,-29.05357877,-9.999976942,3.999992334,-1.713752365e-06,5.999975538,5.007608056e-08,-29.05353529,-38.99998197,11.99998208,3.110920137e-06,26.99996622,-4.785975858e-09
10,-28.83834475,-9.999977026,3.999992362,-1.707506209e-06,5.999975627,4.989356704e-08,-28.83830142,-38.99998203,11.99998215,3.09958169e-06,26.99996635,-4.768532295e-09
11,-28.60258644,-9.999977118,3.999992392,-1.700664433e-06,5.999975725,4.96936494e-08,-28.60254328,-38.99998211,11.99998222,3.087162031e-06,26.99996648,-4.749425348e-09
12,-28.34671026,-9.999977218,3.999992426,-1.693238831e-06,5.999975831,4.947667227e-08,-28.3466673,-38.99998218,11.9999823,3.073682572e-06,26.99996663,-4.728687956e-09
13,-28.07112265,-9.999977326,3.999992461,-1.685241197e-06,5.999975945,4.92429803e-08,-28.07107989,-38.99998227,11.99998238,3.059164721e-06,26.99996678,-4.706353058e-09
14,-27.77623002,-9.999977441,3.9999925,-1.676683325e-06,5.999976067,4.899291811e-08,-27.77618747,-38.99998236,11.99998247,3.043629889e-06,26.99996695,-4.682453592e-09
15,-27.46243879,-9.999977563,3.99999254,-1.667577011e-06,5.999976197,4.872683034e-08,-27.46239648,-38.99998245,11.99998257,3.027099486e-06,26.99996713,-4.657022496e-09
16,-27.13015539,-9.999977693,3.999992583,-1.657934048e-06,5.999976335,4.844506163e-08,-27.13011332,-38.99998255,11.99998267,3.009594922e-06,26.99996732,-4.630092708e-09
17,-26.77978623,-9.99997783,3.999992629,-1.647766231e-06,5.99997648,4.814795662e-08,-26.77974441,-38.99998266,11.99998277,2.991137608e-06,26.99996752,-4.601697167e-09
18,-26.41173773,-9.999977973,3.999992677,-1.637085355e-06,5.999976632,4.783585994e-08,-26.41169619,-38.99998277,11.99998289,2.971748952e-06,26.99996773,-4.57186881e-09
19,-26.02641633,-9.999978124,3.999992727,-1.625903213e-06,5.999976792,4.750911622e-08,-26.02637507,-38.99998289,11.999983,2.951450367e-06,26.99996795,-4.540640577e-09
20,-25.62422844,-9.999978281,3.999992779,-1.614231601e-06,5.999976958,4.716807011e-08,-25.62418747,-38.99998301,11.99998312,2.930263261e-06,26.99996818,-4.508045405e-09
21,-25.20558047,-9.999978444,3.999992833,-1.602082313e-06,5.999977132,4.681306624e-08,-25.20553982,-38.99998314,11.99998325,2.908209045e-06,26.99996842,-4.474116232e-09
22,-24.77087886,-9.999978614,3.99999289,-1.589467144e-06,5.999977312,4.644444924e-08,-24.77083853,-38.99998328,11.99998338,2.885309129e-06,26.99996867,-4.438885998e-09
23,-24.32053003,-9.99997879,3.999992948,-1.576397887e-06,5.999977499,4.606256376e-08,-24.32049002,-38.99998341,11.99998352,2.861584923e-06,26.99996893,-4.40238764e-09
24,-23.85494038,-9.999978972,3.999993009,-1.562886337e-06,5.999977691,4.566775442e-08,-23.85490072,-38.99998355,11.99998366,2.837057838e-06,26.9999692,-4.364654097e-09
25,-23.37451636,-9.999979159,3.999993071,-1.54894429e-06,5.99997789,4.526036586e-08,-23.37447705,-38.9999837,11.99998381,2.811749282e-06,26.99996947,-4.325718306e-09
26,-22.87966438,-9.999979353,3.999993135,-1.534583538e-06,5.999978095,4.484074273e-08,-22.87962543,-38.99998385,11.99998396,2.785680667e-06,26.99996975,-4.285613207e-09
27,-22.37079085,-9.999979551,3.999993201,-1.519815878e-06,5.999978306,4.440922965e-08,-22.37075228,-38.99998401,11.99998411,2.758873403e-06,26.99997004,-4.244371736e-09
28,-21.84830221,-9.999979755,3.999993269,-1.504653102e-06,5.999978523,4.396617126e-08,-21.84826402,-38.99998417,11.99998427,2.731348899e-06,26.99997034,-4.202026834e-09
29,-21.31260486,-9.999979964,3.999993339,-1.489107007e-06,5.999978744,4.35119122e-08,-21.31256708,-38.99998433,11.99998443,2.703128566e-06,26.99997065,-4.158611437e-09
30,-20.76410525,-9.999980179,3.99999341,-1.473189385e-06,5.999978972,4.30467971e-08,-20.76406786,-38.9999845,11.9999846,2.674233815e-06,26.99997096,-4.114158485e-09
